,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
47,wa,smoothed_wearing_mask,2020-12-20,2020-12-25,5,95.4272237,0.249927,6985.9545,state,fb-survey
48,wi,smoothed_wearing_mask,2020-12-20,2020-12-25,5,90.8219364,0.3794303,5789.9895,state,fb-survey
49,wv,smoothed_wearing_mask,2020-12-20,2020-12-25,5,92.5025205,0.5338871,2433.1567,state,fb-survey
50,wy,smoothed_wearing_mask,2020-12-20,2020-12-25,5,78.9990503,1.5076665,729.8779,state,fb-survey
0,ak,smoothed_wearing_mask,2020-12-21,2020-12-26,5,87.9820051,1.1665475,777.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-12-21,2020-12-26,5,89.6438148,0.493101,3818.109,state,fb-survey
2,ar,smoothed_wearing_mask,2020-12-21,2020-12-26,5,90.4121871,0.5640488,2724.6654,state,fb-survey
3,az,smoothed_wearing_mask,2020-12-21,2020-12-26,5,93.3164908,0.3458789,5213.3266,state,fb-survey
4,ca,smoothed_wearing_mask,2020-12-21,2020-12-26,5,95.6905367,0.1293305,24654.1769,state,fb-survey
5,co,smoothed_wearing_mask,2020-12-21,2020-12-26,5,93.6861903,0.3403668,5105.9056,state,fb-survey
6,ct,smoothed_wearing_mask,2020-12-21,2020-12-26,5,97.2440945,0.2609373,3936.0,state,fb-survey
7,dc,smoothed_wearing_mask,2020-12-21,2020-12-26,5,97.983871,0.7297087,371.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-12-21,2020-12-26,5,95.3559322,0.6202747,1151.0073,state,fb-survey
9,fl,smoothed_wearing_mask,2020-12-21,2020-12-26,5,89.8107679,0.2390703,16011.0005,state,fb-survey
10,ga,smoothed_wearing_mask,2020-12-21,2020-12-26,5,87.0581526,0.4474339,5627.9197,state,fb-survey
11,hi,smoothed_wearing_mask,2020-12-21,2020-12-26,5,94.8645598,0.7419407,885.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-12-21,2020-12-26,5,89.398989,0.5126376,3606.2767,state,fb-survey
13,id,smoothed_wearing_mask,2020-12-21,2020-12-26,5,82.7360228,0.8706165,1884.4375,state,fb-survey
14,il,smoothed_wearing_mask,2020-12-21,2020-12-26,5,94.1600746,0.2322315,10196.0463,state,fb-survey
15,in,smoothed_wearing_mask,2020-12-21,2020-12-26,5,92.0845077,0.3461854,6082.0076,state,fb-survey
16,ks,smoothed_wearing_mask,2020-12-21,2020-12-26,5,90.5874573,0.5340131,2990.0005,state,fb-survey
17,ky,smoothed_wearing_mask,2020-12-21,2020-12-26,5,92.454056,0.4207155,3941.5087,state,fb-survey
