,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
48,wi,smoothed_shop_1d,2020-12-20,2020-12-21,1,57.8255529,0.6228705,6285.9896,state,fb-survey
49,wv,smoothed_shop_1d,2020-12-20,2020-12-21,1,56.4994068,0.9545388,2697.4409,state,fb-survey
50,wy,smoothed_shop_1d,2020-12-20,2020-12-21,1,62.7746478,1.7081605,800.8769,state,fb-survey
0,ak,smoothed_shop_1d,2020-12-21,2020-12-22,1,54.7953216,1.7030778,854.0,state,fb-survey
1,al,smoothed_shop_1d,2020-12-21,2020-12-22,1,61.5354554,0.749623,4212.115,state,fb-survey
2,ar,smoothed_shop_1d,2020-12-21,2020-12-22,1,57.7491138,0.9024931,2995.6659,state,fb-survey
3,az,smoothed_shop_1d,2020-12-21,2020-12-22,1,59.2050665,0.6517447,5686.042,state,fb-survey
4,ca,smoothed_shop_1d,2020-12-21,2020-12-22,1,57.223185,0.3015101,26926.2995,state,fb-survey
5,co,smoothed_shop_1d,2020-12-21,2020-12-22,1,57.9098298,0.6658369,5497.9053,state,fb-survey
6,ct,smoothed_shop_1d,2020-12-21,2020-12-22,1,56.5018744,0.7589364,4267.0,state,fb-survey
7,dc,smoothed_shop_1d,2020-12-21,2020-12-22,1,48.9873418,2.5184469,394.0,state,fb-survey
8,de,smoothed_shop_1d,2020-12-21,2020-12-22,1,59.2123115,1.4006842,1231.0073,state,fb-survey
9,fl,smoothed_shop_1d,2020-12-21,2020-12-22,1,64.0328162,0.3641389,17369.0005,state,fb-survey
10,ga,smoothed_shop_1d,2020-12-21,2020-12-22,1,62.094005,0.6183977,6154.9128,state,fb-survey
11,hi,smoothed_shop_1d,2020-12-21,2020-12-22,1,66.5786695,1.5336768,946.0,state,fb-survey
12,ia,smoothed_shop_1d,2020-12-21,2020-12-22,1,58.326787,0.7843275,3951.2105,state,fb-survey
13,id,smoothed_shop_1d,2020-12-21,2020-12-22,1,61.7581184,1.0677772,2071.4383,state,fb-survey
14,il,smoothed_shop_1d,2020-12-21,2020-12-22,1,56.9025496,0.469042,11147.0474,state,fb-survey
15,in,smoothed_shop_1d,2020-12-21,2020-12-22,1,57.3840747,0.6058693,6662.0129,state,fb-survey
16,ks,smoothed_shop_1d,2020-12-21,2020-12-22,1,58.8334072,0.8590435,3281.9999,state,fb-survey
